ID_9K	ID_POPA
12_30343	3_0343
12_30350	3_0350
12_30406	3_0406
12_30478	3_0478
12_30499	3_0499
12_30672	3_0672
12_30694	3_0694
12_30710	3_0710
12_30750	3_0750
12_30753	3_0753
12_30786	3_0786
12_30821	3_0821
12_31179	3_1179
11_10002	1_0002
11_10043	1_0043
11_20157	2_0157
11_10176	1_0176
11_20290	2_0290
11_10302	1_0302
11_10324	1_0324
11_20432	2_0432
11_10516	1_0516
11_10552	1_0552
11_20912	2_0912
11_20997	2_0997
11_21000	2_1000
11_21219	2_1219
11_21431	2_1431
11_11256	1_1256
11_11336	1_1336
11_11359	1_1359
11_11367	1_1367
11_11484	1_1484
12_10166	1_0166
12_10938	1_0938
12_11036	1_1036
12_11062	1_1062
12_11107	1_1107
12_11209	1_1209
12_11444	1_1444
12_20696	2_0696
12_21131	2_1131
12_21408	2_1408
12_31464	3_1464
11_10006	1_0006
11_20121	2_0121
11_20229	2_0229
11_20434	2_0434
11_20475	2_0475
11_10433	1_0433
11_20550	2_0550
11_20657	2_0657
11_10686	1_0686
11_20990	2_0990
11_10830	1_0830
11_21126	2_1126
11_21373	2_1373
11_21446	2_1446
12_30059	3_0059
12_30243	3_0243
12_30295	3_0295
12_30298	3_0298
12_30348	3_0348
12_30462	3_0462
12_30505	3_0505
12_30522	3_0522
12_30546	3_0546
12_30592	3_0592
12_30742	3_0742
12_30744	3_0744
12_30774	3_0774
12_31160	3_1160
12_31163	3_1163
12_31272	3_1272
12_31381	3_1381
11_20021	2_0021
11_20169	2_0169
11_10111	1_0111
11_20220	2_0220
11_20267	2_0267
11_10279	1_0279
11_10338	1_0338
11_10357	1_0357
11_10396	1_0396
11_10522	1_0522
11_10586	1_0586
11_10644	1_0644
11_20754	2_0754
11_20844	2_0844
11_10722	1_0722
11_20908	2_0908
11_20909	2_0909
11_21038	2_1038
11_10854	1_0854
11_21140	2_1140
11_21392	2_1392
11_11277	1_1277
11_11481	1_1481
11_11528	1_1528
12_10905	1_0905
12_11443	1_1443
12_20187	2_0187
12_30403	3_0403
12_31192	3_1192
12_31319	3_1319
12_31377	3_1377
11_10471	1_0471
11_20625	2_0625
11_20769	2_0769
11_20780	2_0780
11_20792	2_0792
11_20921	2_0921
11_20959	2_0959
11_10789	1_0789
11_21057	2_1057
11_21068	2_1068
11_10890	1_0890
11_10911	1_0911
12_10207	1_0207
12_10535	1_0535
12_10808	1_0808
12_11008	1_1008
12_11144	1_1144
12_11173	1_1173
12_11267	1_1267
12_11409	1_1409
12_11457	1_1457
12_11463	1_1463
12_20613	2_0613
12_21020	2_1020
12_21172	2_1172
12_21176	2_1176
12_30014	3_0014
12_30191	3_0191
12_30257	3_0257
12_30509	3_0509
12_30532	3_0532
11_20107	2_0107
11_20112	2_0112
11_20138	2_0138
11_10180	1_0180
11_20383	2_0383
11_20394	2_0394
11_10443	1_0443
11_10590	1_0590
11_20772	2_0772
11_20840	2_0840
11_20915	2_0915
11_21377	2_1377
11_11509	1_1509
12_10502	1_0502
12_10592	1_0592
12_10693	1_0693
12_10746	1_0746
12_10777	1_0777
12_11496	1_1496
12_20429	2_0429
12_20599	2_0599
12_30155	3_0155
12_30231	3_0231
12_30517	3_0517
12_30781	3_0781
12_30934	3_0934
12_31105	3_1105
12_31152	3_1152
12_31284	3_1284
12_31497	3_1497
12_31526	3_1526
11_10041	1_0041
11_20133	2_0133
11_20149	2_0149
11_10216	1_0216
11_10307	1_0307
11_20373	2_0373
11_10326	1_0326
11_20509	2_0509
11_20562	2_0562
11_20563	2_0563
11_20594	2_0594
11_20603	2_0603
11_20724	2_0724
11_20864	2_0864
11_20940	2_0940
11_20951	2_0951
11_10782	1_0782
11_10787	1_0787
11_21015	2_1015
11_21187	2_1187
11_10891	1_0891
11_10903	1_0903
11_21261	2_1261
11_21265	2_1265
11_10943	1_0943
11_10987	1_0987
11_21366	2_1366
11_21384	2_1384
11_21416	2_1416
11_11038	1_1038
11_11040	1_1040
11_20173	2_0173
11_10399	1_0399
11_10525	1_0525
11_10648	1_0648
11_10837	1_0837
11_10919	1_0919
11_21304	2_1304
11_11059	1_1059
11_11073	1_1073
11_11105	1_1105
12_10230	1_0230
12_10296	1_0296
12_10718	1_0718
12_11030	1_1030
12_11452	1_1452
12_20368	2_0368
12_20593	2_0593
12_21049	2_1049
12_21105	2_1105
12_21415	2_1415
12_30277	3_0277
12_30432	3_0432
12_30631	3_0631
12_30649	3_0649
12_30657	3_0657
12_30775	3_0775
12_30871	3_0871
12_30872	3_0872
12_31081	3_1081
12_31387	3_1387
12_31446	3_1446
11_10012	1_0012
11_10070	1_0070
11_10084	1_0084
11_10147	1_0147
11_10178	1_0178
11_10234	1_0234
11_10297	1_0297
11_10325	1_0325
11_20387	2_0387
11_10342	1_0342
11_20500	2_0500
11_10498	1_0498
11_20674	2_0674
11_10602	1_0602
11_10733	1_0733
11_10796	1_0796
11_21005	2_1005
11_21096	2_1096
11_21388	2_1388
11_11015	1_1015
11_11046	1_1046
11_11133	1_1133
12_10099	1_0099
12_10330	1_0330
12_10485	1_0485
12_11272	1_1272
12_30259	3_0259
12_30634	3_0634
12_30691	3_0691
12_31169	3_1169
12_31474	3_1474
11_10422	1_0422
11_20602	2_0602
11_10638	1_0638
11_10679	1_0679
11_20891	2_0891
11_20929	2_0929
11_21153	2_1153
11_10947	1_0947
11_21338	2_1338
11_10997	1_0997
11_11054	1_1054
11_11061	1_1061
11_11302	1_1302
11_11400	1_1400
11_11505	1_1505
12_10156	1_0156
12_10486	1_0486
12_10558	1_0558
12_10715	1_0715
12_10847	1_0847
12_10927	1_0927
12_10948	1_0948
12_11131	1_1131
12_11340	1_1340
12_11428	1_1428
12_11493	1_1493
12_20235	2_0235
12_20281	2_0281
12_20326	2_0326
12_20688	2_0688
12_20917	2_0917
11_20032	2_0032
11_20039	2_0039
11_20160	2_0160
11_10317	1_0317
11_20417	2_0417
11_20458	2_0458
11_20669	2_0669
11_10624	1_0624
11_21286	2_1286
11_11178	1_1178
11_11354	1_1354
12_10474	1_0474
12_30029	3_0029
12_30042	3_0042
12_30179	3_0179
12_30195	3_0195
12_30209	3_0209
12_30251	3_0251
12_30338	3_0338
12_30379	3_0379
12_30420	3_0420
12_30487	3_0487
12_30491	3_0491
12_30557	3_0557
12_30561	3_0561
12_30582	3_0582
12_30703	3_0703
12_30828	3_0828
12_30853	3_0853
12_31175	3_1175
12_31288	3_1288
11_10191	1_0191
11_20374	2_0374
11_20390	2_0390
11_20438	2_0438
11_20442	2_0442
11_20528	2_0528
11_20532	2_0532
11_20585	2_0585
11_20667	2_0667
11_10632	1_0632
11_10685	1_0685
11_10692	1_0692
11_20887	2_0887
11_21110	2_1110
11_21144	2_1144
11_21166	2_1166
11_10909	1_0909
11_21251	2_1251
11_21399	2_1399
12_10035	1_0035
12_10545	1_0545
12_10717	1_0717
12_10719	1_0719
12_11278	1_1278
12_11504	1_1504
12_30108	3_0108
12_30265	3_0265
12_30275	3_0275
12_30724	3_0724
12_31020	3_1020
12_31256	3_1256
11_20251	2_0251
11_10265	1_0265
11_10358	1_0358
11_10407	1_0407
11_20476	2_0476
11_10436	1_0436
11_20690	2_0690
11_10651	1_0651
11_20833	2_0833
11_10750	1_0750
11_21078	2_1078
11_21094	2_1094
11_21205	2_1205
11_21258	2_1258
11_11072	1_1072
11_11206	1_1206
11_11211	1_1211
11_11384	1_1384
11_11430	1_1430
12_10640	1_0640
12_10650	1_0650
12_10883	1_0883
12_11096	1_1096
12_11121	1_1121
12_11288	1_1288
12_11316	1_1316
12_11324	1_1324
12_11369	1_1369
12_20181	2_0181
12_20196	2_0196
12_20335	2_0335
11_10196	1_0196
11_20340	2_0340
11_10287	1_0287
11_20734	2_0734
11_20947	2_0947
11_20960	2_0960
11_10818	1_0818
11_10823	1_0823
11_21156	2_1156
11_21242	2_1242
11_10952	1_0952
11_11214	1_1214
12_10859	1_0859
12_20489	2_0489
12_20878	2_0878
12_21337	2_1337
12_21476	2_1476
12_30068	3_0068
12_30205	3_0205
12_30206	3_0206
12_30323	3_0323
12_30674	3_0674
12_30696	3_0696
12_30772	3_0772
12_31021	3_1021
12_31189	3_1189
12_31218	3_1218
12_31252	3_1252
12_31293	3_1293
12_31394	3_1394
12_31445	3_1445
11_20080	2_0080
11_20086	2_0086
11_10138	1_0138
11_10214	1_0214
11_10429	1_0429
11_10475	1_0475
11_10707	1_0707
11_10731	1_0731
11_20923	2_0923
11_21037	2_1037
11_10876	1_0876
11_21175	2_1175
11_21351	2_1351
11_10988	1_0988
11_10989	1_0989
11_10990	1_0990
11_11043	1_1043
11_11236	1_1236
11_11250	1_1250
11_11307	1_1307
11_11533	1_1533
12_10649	1_0649
12_10936	1_0936
12_10969	1_0969
12_21396	2_1396
12_30216	3_0216
12_30896	3_0896
12_30897	3_0897
12_31205	3_1205
12_31402	3_1402
12_31424	3_1424
11_20064	2_0064
11_10128	1_0128
11_10263	1_0263
11_20419	2_0419
11_10398	1_0398
11_10538	1_0538
11_20699	2_0699
11_20781	2_0781
11_20955	2_0955
11_10786	1_0786
11_21007	2_1007
11_21136	2_1136
11_10900	1_0900
11_21238	2_1238
11_21245	2_1245
11_21340	2_1340
11_11058	1_1058
11_11100	1_1100
11_11118	1_1118
11_11323	1_1323
11_11402	1_1402
11_11435	1_1435
11_11480	1_1480
12_11285	1_1285
12_11388	1_1388
12_11449	1_1449
12_20793	2_0793
12_20989	2_0989
12_21527	2_1527
12_30095	3_0095
12_30200	3_0200
11_10092	1_0092
11_20366	2_0366
11_10376	1_0376
11_10404	1_0404
11_20511	2_0511
11_20711	2_0711
11_10656	1_0656
11_20895	2_0895
11_21088	2_1088
11_21125	2_1125
11_21220	2_1220
11_10916	1_0916
11_21274	2_1274
11_21440	2_1440
12_10579	1_0579
12_20183	2_0183
12_30152	3_0152
12_30341	3_0341
12_30459	3_0459
12_30480	3_0480
12_30555	3_0555
12_30598	3_0598
12_30636	3_0636
12_30678	3_0678
12_30690	3_0690
12_30900	3_0900
12_30901	3_0901
12_31095	3_1095
12_31264	3_1264
12_31383	3_1383
12_31398	3_1398
11_10065	1_0065
11_10072	1_0072
11_20141	2_0141
11_20182	2_0182
11_10109	1_0109
11_20215	2_0215
11_20293	2_0293
11_10329	1_0329
11_20590	2_0590
11_10566	1_0566
11_10625	1_0625
11_10714	1_0714
11_10791	1_0791
11_20994	2_0994
11_21099	2_1099
11_21250	2_1250
11_21346	2_1346
11_21436	2_1436
11_11023	1_1023
11_21453	2_1453
12_10181	1_0181
12_10447	1_0447
12_10487	1_0487
12_10950	1_0950
12_20027	2_0027
12_20518	2_0518
12_30823	3_0823
12_31180	3_1180
12_31461	3_1461
12_31506	3_1506
12_31527	3_1527
11_10383	1_0383
11_20480	2_0480
11_20494	2_0494
11_10446	1_0446
11_10551	1_0551
11_20715	2_0715
11_20943	2_0943
11_10780	1_0780
11_10826	1_0826
11_21315	2_1315
11_21370	2_1370
11_21406	2_1406
11_11227	1_1227
11_11262	1_1262
11_11365	1_1365
11_11380	1_1380
11_11486	1_1486
12_10164	1_0164
12_10472	1_0472
12_10739	1_0739
12_10937	1_0937
12_30041	3_0041
12_30097	3_0097
12_30106	3_0106
12_30248	3_0248
12_30310	3_0310
12_30352	3_0352
12_30396	3_0396
12_30695	3_0695
12_30914	3_0914
12_30942	3_0942
11_10017	1_0017
11_10085	1_0085
11_10112	1_0112
11_20252	2_0252
11_20529	2_0529
11_20595	2_0595
11_10559	1_0559
11_10565	1_0565
11_20681	2_0681
11_20742	2_0742
11_10672	1_0672
11_20794	2_0794
11_20797	2_0797
11_20858	2_0858
11_20976	2_0976
11_21181	2_1181
11_10886	1_0886
11_21398	2_1398
11_11453	1_1453
12_10103	1_0103
12_10173	1_0173
12_30378	3_0378
12_30818	3_0818
12_30920	3_0920
12_31100	3_1100
12_31209	3_1209
12_31268	3_1268
12_31300	3_1300
12_31406	3_1406
12_31409	3_1409
12_31428	3_1428
11_10026	1_0026
11_20099	2_0099
11_20159	2_0159
11_20172	2_0172
11_10101	1_0101
11_10194	1_0194
11_10243	1_0243
11_10352	1_0352
11_20455	2_0455
11_20498	2_0498
11_20552	2_0552
11_20561	2_0561
11_20607	2_0607
11_20609	2_0609
11_20631	2_0631
11_20862	2_0862
11_10770	1_0770
11_20953	2_0953
11_20968	2_0968
11_20982	2_0982
11_21027	2_1027
11_21142	2_1142
11_21184	2_1184
11_21190	2_1190
11_10977	1_0977
11_10996	1_0996
11_21414	2_1414
11_11346	1_1346
11_21507	2_1507
12_11005	1_1005
12_11050	1_1050
11_20193	2_0193
11_20356	2_0356
11_20410	2_0410
11_10601	1_0601
11_20719	2_0719
11_10710	1_0710
11_10825	1_0825
11_21189	2_1189
11_11002	1_1002
12_10114	1_0114
12_10968	1_0968
12_11237	1_1237
12_11310	1_1310
12_11414	1_1414
12_11434	1_1434
12_11527	1_1527
12_21268	2_1268
12_21496	2_1496
12_30064	3_0064
12_30192	3_0192
12_30297	3_0297
12_30431	3_0431
12_30474	3_0474
12_30571	3_0571
12_30737	3_0737
12_30785	3_0785
12_30915	3_0915
12_30953	3_0953
12_31448	3_1448
12_31475	3_1475
12_31487	3_1487
11_10008	1_0008
11_10011	1_0011
11_10137	1_0137
11_10224	1_0224
11_20328	2_0328
11_10328	1_0328
11_10349	1_0349
11_10365	1_0365
11_10380	1_0380
11_10437	1_0437
11_10456	1_0456
11_20647	2_0647
11_10620	1_0620
11_20866	2_0866
11_20970	2_0970
11_21101	2_1101
11_21109	2_1109
11_21129	2_1129
11_21197	2_1197
11_10925	1_0925
11_10966	1_0966
11_11086	1_1086
11_11258	1_1258
12_10532	1_0532
12_30609	3_0609
12_30618	3_0618
12_30680	3_0680
12_30799	3_0799
12_31012	3_1012
12_31122	3_1122
12_31372	3_1372
11_10863	1_0863
11_21145	2_1145
11_10926	1_0926
11_21259	2_1259
11_11099	1_1099
11_11313	1_1313
11_11501	1_1501
11_11502	1_1502
12_10233	1_0233
12_10391	1_0391
12_10784	1_0784
12_11069	1_1069
12_11102	1_1102
12_11117	1_1117
12_11265	1_1265
12_11295	1_1295
12_11387	1_1387
12_11511	1_1511
12_11518	1_1518
12_20264	2_0264
12_20574	2_0574
12_20591	2_0591
12_21411	2_1411
12_21506	2_1506
12_30039	3_0039
12_30130	3_0130
12_30262	3_0262
12_30318	3_0318
12_30467	3_0467
12_30583	3_0583
12_30721	3_0721
11_20002	2_0002
11_10005	1_0005
11_20102	2_0102
11_20288	2_0288
11_10281	1_0281
11_20486	2_0486
11_20583	2_0583
11_10653	1_0653
11_20801	2_0801
11_10728	1_0728
11_20890	2_0890
11_20995	2_0995
11_21435	2_1435
11_21472	2_1472
11_11125	1_1125
11_11191	1_1191
11_11283	1_1283
11_11530	1_1530
12_30009	3_0009
12_30809	3_0809
12_30922	3_0922
12_30923	3_0923
12_31008	3_1008
12_31009	3_1009
12_31010	3_1010
12_31014	3_1014
12_31015	3_1015
12_31159	3_1159
12_31214	3_1214
12_31298	3_1298
12_31502	3_1502
11_20017	2_0017
11_20124	2_0124
11_10158	1_0158
11_20276	2_0276
11_10225	1_0225
11_20325	2_0325
11_20333	2_0333
11_10276	1_0276
11_20351	2_0351
11_10335	1_0335
11_10350	1_0350
11_10373	1_0373
11_20428	2_0428
11_20694	2_0694
11_20695	2_0695
11_20704	2_0704
11_10683	1_0683
11_20877	2_0877
11_20931	2_0931
11_21120	2_1120
11_21305	2_1305
11_11241	1_1241
11_21502	2_1502
11_11394	1_1394
12_10609	1_0609
12_30616	3_0616
12_30754	3_0754
12_30788	3_0788
12_31242	3_1242
12_31323	3_1323
12_31356	3_1356
11_20439	2_0439
11_20444	2_0444
11_20521	2_0521
11_20566	2_0566
11_20796	2_0796
11_20856	2_0856
11_21062	2_1062
11_10839	1_0839
11_21147	2_1147
11_11016	1_1016
11_11124	1_1124
11_11314	1_1314
11_11337	1_1337
11_21511	2_1511
11_11401	1_1401
12_10452	1_0452
12_10678	1_0678
12_10850	1_0850
12_11084	1_1084
12_11150	1_1150
12_11152	1_1152
12_11284	1_1284
12_11429	1_1429
12_11482	1_1482
12_20108	2_0108
12_20608	2_0608
12_20721	2_0721
12_20863	2_0863
12_21064	2_1064
12_30005	3_0005
12_30088	3_0088
11_20063	2_0063
11_20093	2_0093
11_20115	2_0115
11_20136	2_0136
11_10253	1_0253
11_20659	2_0659
11_20778	2_0778
11_21163	2_1163
11_21294	2_1294
11_21358	2_1358
11_11021	1_1021
12_10134	1_0134
12_30126	3_0126
12_30170	3_0170
12_30250	3_0250
12_30325	3_0325
12_30399	3_0399
12_30663	3_0663
12_30677	3_0677
12_30743	3_0743
12_30829	3_0829
12_31011	3_1011
12_31016	3_1016
12_31017	3_1017
12_31018	3_1018
12_31262	3_1262
12_31281	3_1281
12_31346	3_1346
12_31368	3_1368
12_31393	3_1393
12_31529	3_1529
11_20023	2_0023
11_20130	2_0130
11_20168	2_0168
11_10312	1_0312
11_10515	1_0515
11_20626	2_0626
11_20628	2_0628
11_10753	1_0753
11_20944	2_0944
11_20999	2_0999
11_21083	2_1083
11_21161	2_1161
11_21212	2_1212
11_21381	2_1381
11_21438	2_1438
11_11330	1_1330
12_10074	1_0074
12_10100	1_0100
12_10344	1_0344
12_10662	1_0662
12_30090	3_0090
12_30223	3_0223
12_30274	3_0274
12_30342	3_0342
12_30423	3_0423
12_30732	3_0732
12_30909	3_0909
12_30927	3_0927
12_31220	3_1220
12_31499	3_1499
12_31525	3_1525
11_10047	1_0047
11_20362	2_0362
11_10444	1_0444
11_20523	2_0523
11_20597	2_0597
11_10584	1_0584
11_10628	1_0628
11_10747	1_0747
11_10754	1_0754
11_10821	1_0821
11_10867	1_0867
11_10918	1_0918
11_21277	2_1277
11_21348	2_1348
11_21405	2_1405
11_11172	1_1172
11_21493	2_1493
11_21495	2_1495
11_21505	2_1505
11_21513	2_1513
11_11503	1_1503
12_10583	1_0583
12_10680	1_0680
12_11138	1_1138
12_11338	1_1338
12_11392	1_1392
12_11454	1_1454
12_11517	1_1517
12_11524	1_1524
12_20849	2_0849
12_21081	2_1081
11_20085	2_0085
11_20155	2_0155
11_20409	2_0409
11_10381	1_0381
11_20527	2_0527
11_20612	2_0612
11_10570	1_0570
11_20650	2_0650
11_20851	2_0851
11_21272	2_1272
11_21428	2_1428
12_10122	1_0122
12_11154	1_1154
12_20421	2_0421
12_21194	2_1194
12_21376	2_1376
12_21386	2_1386
12_30137	3_0137
12_30276	3_0276
12_30278	3_0278
12_30367	3_0367
12_30375	3_0375
12_30640	3_0640
12_30924	3_0924
12_31238	3_1238
12_31251	3_1251
12_31269	3_1269
12_31299	3_1299
12_31329	3_1329
12_31367	3_1367
12_31500	3_1500
11_20057	2_0057
11_20185	2_0185
11_20343	2_0343
11_10280	1_0280
11_10343	1_0343
11_20605	2_0605
11_20662	2_0662
11_10646	1_0646
11_10681	1_0681
11_10694	1_0694
11_10702	1_0702
11_20920	2_0920
11_10767	1_0767
11_21008	2_1008
11_10842	1_0842
11_10893	1_0893
11_21267	2_1267
11_10935	1_0935
11_21362	2_1362
11_11127	1_1127
11_11141	1_1141
11_11196	1_1196
11_11328	1_1328
11_11410	1_1410
11_11436	1_1436
11_21523	2_1523
12_20198	2_0198
12_20505	2_0505
12_30736	3_0736
12_30921	3_0921
12_30960	3_0960
11_10113	1_0113
11_10208	1_0208
11_10221	1_0221
11_21056	2_1056
11_11516	1_1516
12_10014	1_0014
12_10188	1_0188
12_10215	1_0215
12_10505	1_0505
12_10629	1_0629
12_11047	1_1047
12_20176	2_0176
12_20369	2_0369
12_20413	2_0413
12_21345	2_1345
12_30055	3_0055
12_30081	3_0081
12_30092	3_0092
12_30096	3_0096
12_30135	3_0135
12_30229	3_0229
12_30271	3_0271
12_30370	3_0370
12_30764	3_0764
12_30767	3_0767
12_30963	3_0963
12_30973	3_0973
12_31161	3_1161
12_31324	3_1324
12_31388	3_1388
12_31496	3_1496
11_20001	2_0001
11_20012	2_0012
11_10044	1_0044
11_10048	1_0048
11_20109	2_0109
11_20114	2_0114
11_20145	2_0145
11_10093	1_0093
11_20180	2_0180
11_20210	2_0210
11_20222	2_0222
11_10223	1_0223
11_20302	2_0302
11_20422	2_0422
11_20606	2_0606
11_20680	2_0680
11_20777	2_0777
11_21070	2_1070
11_21122	2_1122
11_21397	2_1397
11_21418	2_1418
11_11405	1_1405
12_10371	1_0371
12_10860	1_0860
12_20240	2_0240
12_30328	3_0328
12_30564	3_0564
12_30863	3_0863
12_30864	3_0864
12_30865	3_0865
12_30992	3_0992
11_10261	1_0261
11_10319	1_0319
11_20411	2_0411
11_10409	1_0409
11_10423	1_0423
11_20557	2_0557
11_10490	1_0490
11_10668	1_0668
11_10738	1_0738
11_20939	2_0939
11_20952	2_0952
11_10793	1_0793
11_10813	1_0813
11_21093	2_1093
11_21228	2_1228
11_21359	2_1359
11_21374	2_1374
11_21385	2_1385
11_21389	2_1389
11_21402	2_1402
11_11136	1_1136
11_11180	1_1180
11_11199	1_1199
11_11320	1_1320
11_11411	1_1411
12_10063	1_0063
12_10171	1_0171
12_10347	1_0347
12_10562	1_0562
12_10626	1_0626
12_10810	1_0810
11_10432	1_0432
11_10577	1_0577
11_10667	1_0667
11_20782	2_0782
11_10756	1_0756
11_21071	2_1071
11_21073	2_1073
12_11060	1_1060
12_11112	1_1112
12_11175	1_1175
12_11300	1_1300
12_11382	1_1382
12_11485	1_1485
12_20011	2_0011
12_20274	2_0274
12_21117	2_1117
12_21458	2_1458
12_30140	3_0140
12_30150	3_0150
12_30187	3_0187
12_30394	3_0394
12_30540	3_0540
12_30777	3_0777
12_30878	3_0878
12_30907	3_0907
12_30993	3_0993
12_31164	3_1164
12_31291	3_1291
12_31313	3_1313
12_31458	3_1458
12_31486	3_1486
11_10010	1_0010
11_20289	2_0289
11_20363	2_0363
11_20482	2_0482
11_20610	2_0610
11_10527	1_0527
11_20723	2_0723
11_10639	1_0639
11_20906	2_0906
11_20924	2_0924
11_10881	1_0881
11_21191	2_1191
11_10946	1_0946
11_11207	1_1207
11_11224	1_1224
11_11431	1_1431
12_10088	1_0088
12_11063	1_1063
12_20156	2_0156
12_30060	3_0060
12_30455	3_0455
12_30605	3_0605
12_30620	3_0620
12_30684	3_0684
12_30995	3_0995
12_31186	3_1186
12_31297	3_1297
12_31360	3_1360
12_31382	3_1382
12_31462	3_1462
12_31515	3_1515
11_20020	2_0020
11_20062	2_0062
11_10046	1_0046
11_20269	2_0269
11_10262	1_0262
11_20361	2_0361
11_20412	2_0412
11_20453	2_0453
11_10411	1_0411
11_20496	2_0496
11_10480	1_0480
11_10568	1_0568
11_20820	2_0820
11_20853	2_0853
11_21010	2_1010
11_10807	1_0807
11_21087	2_1087
11_21273	2_1273
11_10942	1_0942
11_21296	2_1296
11_21303	2_1303
11_21400	2_1400
11_11042	1_1042
11_11070	1_1070
11_11114	1_1114
11_21481	2_1481
11_11332	1_1332
12_10053	1_0053
12_10426	1_0426
12_10492	1_0492
12_10607	1_0607
11_20451	2_0451
11_10467	1_0467
11_20580	2_0580
11_10606	1_0606
11_10627	1_0627
11_11513	1_1513
12_10637	1_0637
12_11108	1_1108
12_11190	1_1190
12_11232	1_1232
12_11427	1_1427
12_20525	2_0525
12_20831	2_0831
12_20898	2_0898
12_21029	2_1029
12_21137	2_1137
12_21442	2_1442
12_30331	3_0331
12_30427	3_0427
12_30450	3_0450
12_30488	3_0488
12_30525	3_0525
12_30693	3_0693
12_30755	3_0755
12_30839	3_0839
12_30866	3_0866
12_30994	3_0994
12_31026	3_1026
12_31156	3_1156
12_31362	3_1362
12_31536	3_1536
11_20178	2_0178
11_20197	2_0197
11_10334	1_0334
11_20454	2_0454
11_20515	2_0515
11_10510	1_0510
11_10588	1_0588
11_20670	2_0670
11_20689	2_0689
11_10614	1_0614
11_20718	2_0718
11_20732	2_0732
11_20762	2_0762
11_20838	2_0838
11_10723	1_0723
11_10724	1_0724
11_21111	2_1111
11_21151	2_1151
11_21243	2_1243
11_11470	1_1470
12_10271	1_0271
12_10666	1_0666
12_10670	1_0670
12_10824	1_0824
12_30114	3_0114
12_30539	3_0539
12_30554	3_0554
12_30718	3_0718
12_30987	3_0987
12_30988	3_0988
12_31246	3_1246
11_20072	2_0072
11_20119	2_0119
11_10090	1_0090
11_10123	1_0123
11_20358	2_0358
11_10309	1_0309
11_20384	2_0384
11_20765	2_0765
11_20815	2_0815
11_10712	1_0712
11_10785	1_0785
11_20974	2_0974
11_10829	1_0829
11_21332	2_1332
11_21353	2_1353
11_11004	1_1004
11_11213	1_1213
11_11292	1_1292
11_11299	1_1299
11_11319	1_1319
11_21504	2_1504
11_11398	1_1398
11_11500	1_1500
12_10170	1_0170
12_11139	1_1139
12_11183	1_1183
12_11194	1_1194
12_11233	1_1233
12_11526	1_1526
12_30385	3_0385
12_31139	3_1139
11_20206	2_0206
11_10269	1_0269
11_20553	2_0553
11_10611	1_0611
11_20701	2_0701
11_20894	2_0894
11_21035	2_1035
12_20143	2_0143
12_20237	2_0237
12_30117	3_0117
12_30136	3_0136
12_30138	3_0138
12_30158	3_0158
12_30226	3_0226
12_30232	3_0232
12_30390	3_0390
12_30543	3_0543
12_30584	3_0584
12_30591	3_0591
12_30787	3_0787
12_30904	3_0904
12_30905	3_0905
12_30906	3_0906
12_30975	3_0975
12_30990	3_0990
12_31023	3_1023
12_31138	3_1138
12_31148	3_1148
12_31231	3_1231
12_31258	3_1258
12_31385	3_1385
11_20007	2_0007
11_20010	2_0010
